buoy,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,s.s.temp.
4,6,-0.01,-139.94,-5.1,-2.5,92.3,26.03,25.7
4,7,-0.02,-139.94,-5.4,-2.1,88.1,25.5,25.15
4,8,-0.02,-139.94,-3.6,-0.6,90.4,25.04,24.82
4,9,-0.02,-139.94,-3.3,0.3,88.8,24.63,24.51
4,10,-0.02,-139.93,-3,-2.7,87.3,24.51,24.36
4,11,-0.02,-139.93,-4.7,-1,90.4,24.19,24.15
4,12,-0.02,-139.93,-5.2,0.2,87.3,24.02,24.1
4,13,-0.01,-139.94,-4.7,-1,88.4,24.21,24.15
5,1,-2.02,-139.96,1.7,1.2,87.3,27.36,28.71
5,2,-2,-139.96,-1.1,-1.9,86.9,27.28,28.43
5,3,-2.01,-139.97,-3.7,-2.7,84.8,27.43,28.47
5,4,-2.01,-139.97,-4.4,-3,81.9,27.75,28.83
5,5,-2.02,-139.97,-3.9,-1.4,83.6,27.91,28.92
5,6,-2.02,-139.96,-5.8,-3.4,88.9,27.75,28.71
5,7,-2.03,-139.97,-4.5,-5.2,87.7,27.08,28.27
5,8,-2.02,-139.97,-3.6,-4.5,83.1,26.6,27.7
5,9,-2.02,-139.96,-2.6,-2.3,84.4,26.41,27.27
5,10,-2.02,-139.96,-1.2,-5.1,88.5,25.93,27
5,11,-2.01,-139.96,-4,-4.3,84.4,25.54,26.77
5,12,-2.01,-139.96,-4,-3.1,84.8,25.69,26.87
5,13,-2.02,-139.96,-2.8,-4.5,89.3,25.61,26.86
5,14,-2.02,-139.97,.,.,.,25.26,26.55
6,1,-5.01,-139.92,-0.6,3.5,83.8,28.02,28.94
6,2,-5.01,-139.91,0.2,-2.5,85.4,27.13,28.85
6,3,-5.01,-139.92,-3.9,-3.4,79.8,28.38,29.03
6,4,-5.01,-139.92,-4.2,-2.5,79.4,28.18,28.98
6,5,-5.01,-139.92,-3,0.3,82.6,27.87,29.04
6,6,-5.01,-139.92,-7.9,1.1,78.6,28.45,29.08
6,7,-5.01,-139.92,-5.5,0.5,76.1,28.53,29.15
6,8,-5.01,-139.92,-3.1,-1.7,85.8,27.16,29.05
6,9,-5.01,-139.91,-3.5,-0.8,84.2,27.48,28.99
6,10,-5.01,-139.92,-3.3,-0.7,81.8,27.91,29.05
6,11,-5,-139.91,-2.8,-4.9,79.8,28.02,29
6,12,-5.01,-139.92,-4,-1.5,82.2,27.59,28.95
6,13,-5.01,-139.92,-7.8,1,76.1,28.34,28.88
6,14,-5.01,-139.92,.,.,.,27.44,28.85
7,1,5.15,-124.87,-4.8,2.5,90.9,27.85,28.71
7,2,5.14,-124.86,-2.2,4,86.6,28.33,28.64
7,3,5.14,-124.87,-1.6,0.5,88.5,27.37,28.66
7,4,5.15,-124.87,-3,1.8,89.3,27.53,28.68
7,5,5.14,-124.87,-4.6,3.3,83.1,27.81,28.61
7,6,5.14,-124.87,-4.9,1.6,84.6,28.01,28.62
7,7,5.14,-124.87,-4.6,2.4,88.5,27.45,28.77
7,8,5.15,-124.87,-2.2,5.1,86.2,27.25,28.81
7,9,5.14,-124.87,-1.8,3.8,83.1,27.53,28.79
7,10,5.14,-124.87,-3.8,3.4,81.1,27.29,28.75
7,11,5.14,-124.87,-4.2,2.4,80.3,27.53,28.7
7,12,5.14,-124.87,-3.4,2.1,80.3,27.37,28.83
7,13,5.14,-124.87,-3.4,3.1,81.1,27.29,28.93
8,1,1.95,-125.07,-7.1,1.1,79.5,27.14,27.9
8,2,1.96,-125.07,-3.4,1.6,79.1,26.94,27.12
8,3,1.94,-125.07,-3.5,0.8,84.9,26.62,27.03
8,4,1.95,-125.07,-5.8,1.5,84.9,25.89,26.18
8,5,1.96,-125.07,-4.9,2.2,84.1,25.29,25.82
8,6,1.95,-125.07,-5.9,0.7,81.6,25.21,25.56
8,7,1.94,-125.07,-6,1.4,81.2,24.85,25.55
8,8,1.95,-125.07,-4.7,2,82.4,24.45,25.34
8,9,1.95,-125.07,-4.7,2,82.8,24.41,25.05
8,10,1.96,-125.07,-4.7,1.2,81.2,24.49,24.91
8,11,1.95,-125.07,-4.6,0.7,82.8,24.49,24.84
8,12,1.94,-125.07,-4.7,1.2,80.3,24.08,24.92
8,13,1.96,-125.07,-4.5,1.1,79.9,23.84,25.26
9,1,-0.2,-124.37,-3.6,0,89.8,25.09,24.62
9,2,-0.21,-124.37,-0.3,-0.6,89.4,25.39,24.82
9,3,-0.22,-124.36,-1,-0.9,89.4,25.75,25.59
9,4,-0.21,-124.39,-4.2,1,85.6,25.54,25.21
9,5,-0.2,-124.39,-3.6,1.2,85.2,25.13,24.71
9,6,-0.2,-124.39,-4.3,-0.1,84.4,24.7,24.1
9,7,-0.2,-124.4,-3.8,0,85.6,24.03,23.72
9,8,-0.19,-124.39,-3.1,-0.7,84.4,23.94,23.82
9,9,-0.2,-124.39,-3.2,-0.3,84.4,23.87,23.7
9,10,-0.2,-124.38,-2.6,-1.2,86.5,23.59,23.28
9,11,-0.19,-124.38,-3.5,-0.6,84.8,23.28,22.79
9,12,-0.19,-124.39,-3.1,0.7,84.4,22.72,22.44
9,13,-0.19,-124.38,-3.6,0,84.8,22.74,22.56
10,1,-2.03,-124.89,-5.3,-1.8,87,27.06,27.32
10,2,-2.03,-124.89,-0.6,-2.4,89.9,26.51,27.18
10,3,-2.04,-124.88,-0.3,-3.2,91.2,26.12,26.87
10,4,-2.02,-124.89,-4,-1,89.5,26.43,26.82
10,5,-2.03,-124.89,-4.6,-1.3,86.2,26.67,27.19
10,6,-2.04,-124.9,-6.4,-2.8,82.5,26.71,27.13
10,7,-2.04,-124.9,-5.9,-2,81.3,26.31,26.91
10,8,-2.04,-124.9,-3.2,-2.7,85.4,25.92,26.7
10,9,-2.04,-124.89,-4.4,-1.3,84.6,25.76,26.17
10,10,-2.04,-124.89,-3.6,-2.2,87,25.57,25.98
10,11,-2.04,-124.89,-3,-3.5,87.9,25.06,25.81
10,12,-2.04,-124.89,-3.9,-1.8,83.3,25.06,25.41
10,13,-2.03,-124.89,-2.7,-3.2,87.5,24.9,25.42
11,1,-5.02,-124.94,-7.2,-0.9,87.1,28.09,28.19
11,2,-5.01,-124.94,-6,0.1,85.6,28.36,28.23
11,3,-5.02,-124.94,-6.7,-0.2,83,28.32,28.32
11,4,-5.01,-124.94,-6,1.4,79.6,28.17,28.26
11,5,-5.01,-124.94,-5.3,0.6,84.5,27.51,28.41
11,6,-5.01,-124.94,-7.2,-2.8,82.2,28.05,28.46
11,7,-5.02,-124.94,-5.5,-3.5,80,27.89,28.42
11,8,-5.02,-124.95,-4.5,-2.2,83.4,27.82,28.25
11,9,-5.02,-124.93,-2.5,-3.8,81.9,27.7,28.22
11,10,-5.02,-124.94,-4.5,-3.7,80.7,27.97,28.17
11,11,-5.02,-124.94,-2.8,-1.3,79.2,27.74,28.32
11,12,-5.02,-124.93,-5.7,-2,85.2,27,28.21
11,13,-5.01,-124.94,-7.6,1.4,75.5,27.82,28.05
12,1,-7.97,-125.01,-8,0.7,79.6,28.29,.
12,2,-7.97,-125.01,-6.1,1,79.6,28.25,.
12,3,-7.97,-125.02,-6.2,1.8,76.6,28.05,.
12,4,-7.97,-125.02,-5.1,1,71.5,27.81,.
12,5,-7.97,-125.02,-6.2,0.4,76.2,27.97,.
12,6,-7.97,-125.02,-7.9,0.9,78.3,27.85,.
12,7,-7.97,-125.01,-6.6,0.8,83.5,27.18,.
12,8,-7.95,-125.01,-6.3,1,75.8,28.05,.
12,9,-7.96,-125.01,-6.2,1.6,82.6,27.38,.
12,10,-7.97,-125.01,-8.5,-0.3,78.8,27.85,.
12,11,-7.97,-125.01,-6.1,2.4,74.9,28.01,.
12,12,-7.96,-125.02,-7.7,2.6,79.6,27.42,.
12,13,-7.97,-125.02,-7.9,2.3,71.9,27.46,.
13,1,8.05,-110.15,-3.9,-1.2,.,28.84,29.66
13,2,8.05,-110.15,-0.4,4.2,.,27.88,29.61
13,3,8.04,-110.15,4.8,2.5,.,28.63,29.6
13,4,8.04,-110.16,2.3,-1.6,.,27.87,29.58
13,5,8.04,-110.16,0.5,-2.4,.,29.27,29.91
13,6,8.04,-110.15,0.6,-4,.,29.26,29.99
13,7,8.04,-110.15,1.4,-5.1,.,28.92,29.89
13,8,8.04,-110.15,1.2,-0.6,.,28.9,29.9
13,9,8.04,-110.15,3.9,0,.,28.77,29.92
13,10,8.05,-110.15,2.2,0.5,.,28.2,29.82
13,11,8.04,-110.16,2.9,-2.5,.,29.35,30.08
13,12,8.05,-110.16,1.9,1.4,.,28.34,30.04
13,13,8.05,-110.15,4.3,4.2,.,27.92,29.87
14,1,4.99,-109.96,-3.4,5.9,83.2,27.98,28.89
14,2,4.98,-109.96,-3.1,5.3,79.5,28.02,28.84
14,3,4.98,-109.96,1.4,5.8,81.6,27.7,28.75
14,4,4.97,-109.96,3.1,3.5,80.7,27.51,28.6
14,5,4.98,-109.96,-0.1,4.9,81.1,27.51,28.67
14,6,4.97,-109.96,-0.5,4.7,80.7,27.55,28.74
14,7,4.97,-109.96,-0.7,6,80.7,27.35,28.54
14,8,4.97,-109.96,-1.3,6.3,80.3,27.11,28
14,9,4.98,-109.96,-1.5,4.9,78.7,27.15,27.74
14,10,4.98,-109.96,-2.3,4.2,79.9,27.19,27.6
14,11,4.97,-109.96,-1.4,4.7,80.7,27.19,27.6
14,12,4.98,-109.96,-0.3,6.1,81.1,26.91,27.63
14,13,4.98,-109.96,-0.3,7.1,81.1,26.75,27.7
15,1,2.08,-110.1,-6.1,3.5,86.9,26.35,26.89
15,2,2.08,-110.1,-5.4,3.2,87.3,26.12,26.88
15,3,2.08,-110.1,-1.2,3.7,89.8,25.53,26.3
15,4,2.08,-110.1,0.4,2.6,88.2,25.45,26.09
15,5,2.08,-110.11,-1.9,2.9,87.7,24.91,25.83
15,6,2.07,-110.14,-3.6,2.7,89,24.91,25.84
15,7,2.08,-110.11,-4.5,3.7,88.6,24.67,26.07
15,8,2.08,-110.11,-5.2,4,86.5,24.75,26.16
15,9,2.08,-110.1,-4.9,2.7,83.5,25.26,26.24
15,10,2.08,-110.11,-4.1,1.5,84.8,25.18,26.18
15,11,2.08,-110.1,-3.5,2.5,86.5,25.03,26.09
15,12,2.08,-110.1,-2.8,4.1,86,24.17,25.47
15,13,2.08,-110.1,-2.8,3.9,87.3,23.74,24.56
16,1,-1.98,-110.01,-4.9,0.8,92.2,25.96,25.63
16,2,-1.98,-110,-2.2,1.5,93,25.77,25.28
16,3,-1.98,-110,-2.8,2.8,91.8,25.05,24.85
16,4,-1.98,-110.01,-0.9,0.7,91.4,25.09,25.01
16,5,-1.98,-110.01,-3.1,2.2,89.1,25.21,25.42
16,6,-1.98,-110.01,-4.4,0.3,89.1,25.45,25.59
16,7,-1.98,-110.01,-4.8,-0.1,87.5,25.45,25.66
16,8,-1.98,-110,-4.5,0.7,88.3,25.45,25.34
16,9,-1.98,-110,-3.3,-0.3,89.5,25.33,25.27
16,10,-1.98,-110,-3.5,-0.7,90.6,25.09,25.08
16,11,-1.98,-110,-2.9,-0.4,91,25.29,25.17
16,12,-1.98,-110,-2.7,0,88.3,24.82,25.11
16,13,-1.98,-110,-3.9,0.8,87.1,.,.
17,1,-4.98,-109.98,-7.1,2.8,86.2,27.28,27.31
17,2,-4.98,-109.99,-6,3.5,81.7,27.44,27.13
17,3,-4.97,-109.99,-4.3,4.7,80.5,27.36,27.19
17,4,-4.98,-109.99,-1.9,1.8,79.7,26.77,27.41
17,5,-4.98,-109.99,-4.5,1.4,79.7,26.93,27.46
17,6,-4.98,-109.98,-5.2,-0.9,82.1,26.62,27.19
17,7,-4.98,-109.99,-5,-0.7,83.3,26.58,26.95
17,8,-4.99,-109.99,-5.3,0,85,26.66,26.83
17,9,-4.98,-109.99,-4.6,-1,85,26.66,26.79
17,10,-4.98,-109.99,-5.4,-1,85,26.54,26.67
17,11,-4.98,-109.99,-4.6,0.7,84.1,26.27,26.56
17,12,-4.98,-109.99,-3.2,-1.2,88.2,25.88,26.64
17,13,-4.98,-109.99,-5.2,1.9,84.6,26.62,26.64
18,1,-8.05,-109.94,.,.,80.1,27.72,27.99
18,2,-8.05,-109.92,.,.,78.4,27.56,28.02
18,3,-8.05,-109.93,.,.,77.3,27.44,28.1
18,4,-8.05,-109.93,.,.,79.8,27.08,28.15
18,5,-8.05,-109.93,.,.,83.2,26.72,28.09
18,6,-8.1,-109.94,.,.,85.3,26.64,27.99
18,7,-8.05,-109.94,.,.,87.8,26.76,27.97
18,8,-8.05,-109.93,.,.,84.3,27.4,27.97
18,9,-8.05,-109.93,.,.,87.8,26.88,28.01
18,10,-8.05,-109.93,.,.,80.8,27.56,27.99
18,11,-8.05,-109.93,.,.,79.8,27.24,28.01
18,12,-8.05,-109.93,.,.,80.8,27.04,28.01
18,13,-8.05,-109.93,.,.,79.8,27.32,27.93
19,1,8.06,-94.96,-2.3,2.4,86.4,29.14,.
19,2,8.06,-94.95,1.7,-0.3,83.7,29.24,.
19,3,8.05,-94.96,0.9,1,87.1,28.53,.
19,4,8.05,-94.95,7,1.3,84.4,29.18,.
19,5,8.05,-94.96,3.3,2.8,83.7,29.32,.
19,6,8.06,-94.96,2.8,1.8,84.8,29.09,.
19,7,8.06,-94.95,0.4,1.1,83.7,28.97,.
19,8,8.06,-94.98,2,0.8,83.7,28.66,.
19,9,8.06,-94.95,2.5,1.3,84.1,28.67,.
19,10,8.05,-94.95,2.6,0.2,84.8,28.73,.
19,11,8.05,-94.95,2,-1.2,79.8,29.32,.
19,12,8.05,-94.95,2.8,-2.1,85.2,28.75,.
19,13,8.06,-94.95,3.9,1.4,87.9,27.74,.
20,1,5.02,-94.95,.,.,88.6,27.5,.
20,2,5.02,-94.95,.,.,81.5,28.61,.
20,3,5.02,-94.95,.,.,88.2,.,.
20,4,5.03,-94.95,.,.,.,28.72,.
20,5,5.03,-94.95,.,.,81.1,28.91,.
20,6,5.02,-94.95,.,.,83.1,.,.
20,7,5.02,-94.95,.,.,85.4,27.96,.
20,8,5.02,-94.95,.,.,27.58,.,.
20,9,5.02,-94.96,.,.,83.1,28.3,.
20,10,5.02,-94.96,.,.,.,28.19,.
20,11,5.03,-94.95,.,.,85.4,28.57,.
20,12,5.03,-94.95,.,.,87.8,26.96,.
20,13,5.03,-94.95,.,.,85,27.69,.
21,1,1.99,-95,-3.2,6.8,81.8,28.12,29.29
21,2,1.99,-95,-1.8,6.6,81.8,27.88,29.23
21,3,1.99,-95,0.1,6.7,82.6,27.73,29.18
21,4,1.99,-95.01,3,5.8,83,27.65,29.08
21,5,1.97,-95.01,0.5,4.5,81.3,27.65,29.14
21,6,1.98,-95,-1.4,5.6,81.8,27.77,29.3
21,7,1.98,-95,-3.4,6.4,80.9,27.65,29.36
21,8,2,-95.05,-3.3,4,.,.,29.3
21,9,2,-95.03,1,5.2,.,.,28.97
21,10,2,-95.04,0.5,5.5,.,.,.
21,11,2,-95.04,.,.,.,.,27.99
21,12,2,-95.04,-1,6.3,.,.,28.21
21,13,2,-95.03,-1.4,6.3,.,.,28.27
22,1,0.11,-94.99,-4.9,4.8,88.3,25.67,27.63
22,2,0.12,-94.99,-4,4.2,91.2,25.15,27.14
22,3,0.12,-94.98,-1.9,4.2,87.9,25.03,26.56
22,4,0.1,-94.98,1.2,3.5,89,24.83,26.45
22,5,0.1,-94.98,-2.8,3,89.4,24.51,26.71
22,6,0.11,-94.98,.,.,.,24.35,27.12
22,7,0.11,-95.2,-3.4,1.9,.,.,26.76
22,8,0.09,-95.19,-6.5,0.2,.,.,27.01
22,9,0.1,-95.21,-6.3,-1.1,.,.,.
22,10,0.11,-95.2,-5.2,-0.7,.,.,25.57
22,11,0.11,-95.2,-5.2,-0.2,.,.,25.07
22,12,0.1,-95.19,-4.2,0.7,.,.,24.87
22,13,0.13,-95.19,-3.4,0.6,.,.,24.21
23,1,-1.97,-95.03,-3.4,2.2,90.8,25.83,25.5
23,2,-1.97,-95.03,-3.6,2.2,89.6,25.99,25.7
23,3,-1.97,-95.03,-1.7,0.7,88.4,25.71,25.61
23,4,-1.98,-95.03,1,-0.2,89.6,25.24,25.42
23,5,-1.97,-95.03,-2.9,0.2,88.8,25,25.54
23,6,-1.97,-95.02,-3.6,1,90.8,.,.
23,7,-1.97,-95.02,-3.6,1.2,93.2,24.68,24.64
23,8,-1.96,-94.99,-3.5,0.1,92,24.92,24.99
23,9,-1.96,-94.99,-4.5,0.5,89.2,25.04,24.89
23,10,-1.97,-95,-3.8,1,90,25.16,25.16
23,11,-1.97,-95.02,-2.9,2.5,88,25.36,25.51
23,12,-1.98,-95.03,-3,2.3,90.4,25.4,25.51
23,13,-1.98,-95.03,-3.3,2.8,91.6,25.28,25.16
24,1,-5.01,-95.07,-6.6,4.9,77.3,27.63,27.64
24,2,-5.03,-95.07,-6.4,3.5,78.1,27.59,27.63
24,3,-5.02,-95.07,-4.1,2.9,78.9,27.4,27.24
24,4,-5.01,-95.07,-1.7,1.8,81.3,26.68,27.25
24,5,-5.02,-95.07,-3.5,1.4,82.1,26.64,27.26
24,6,-5.02,-95.07,-4.6,3.6,83.3,26.53,27.14
24,7,-5.02,-95.07,-6.1,2.8,79.3,27.04,27.18
24,8,-5.01,-95.06,.,.,.,26.76,27.26
25,1,-8.02,-95.11,-7.8,3.5,75.8,27.38,27.71
25,2,-8.01,-95.1,-7,3.6,78.1,27.03,27.67
25,3,-8.01,-95.1,-6.1,3.9,83.4,26.01,27.65
25,4,-8.01,-95.1,-3.1,4.7,76.5,26.56,27.67
25,5,-8.01,-95.1,-4.6,2,78.1,26.6,27.69
25,6,-8.02,-95.1,-5.9,1.6,82.7,26.64,27.66
25,7,-8.01,-95.1,-7.7,4.6,80,26.79,27.55
25,8,-8.01,-95.1,-7.2,4.5,78.1,26.67,27.5
25,9,-8.02,-95.08,-6.1,2.7,73.9,26.71,27.53
25,10,-8.01,-95.1,-5.2,1.7,76.5,26.71,27.59
25,11,-8.01,-95.1,-3.9,2.1,77.3,26.67,27.61
25,12,-8.01,-95.1,-3.2,3.7,79.6,26.52,27.63
25,13,-8.01,-95.1,-3.4,3.9,78.8,26.48,27.59
26,1,8,-179.91,.,.,.,27.78,28.33
26,2,7.99,-179.88,.,.,.,28.22,28.36
26,3,8,-179.91,.,.,.,28.02,28.37
26,4,8,-179.91,.,.,.,27.94,28.39
26,5,8,-179.91,.,.,.,27.21,28.39
26,6,8,-179.91,.,.,.,27.98,28.38
26,6,8,-179.91,.,.,.,27.86,28.41
26,7,8,-179.91,.,.,.,28.18,28.46
26,8,8,-179.91,.,.,.,28.1,28.4
26,9,7.99,-179.91,.,.,.,27.98,28.43
26,10,8,-179.91,.,.,.,27.94,28.42
26,11,8,-179.91,.,.,.,27.66,28.42
26,12,7.99,-179.9,.,.,.,27.78,28.46
26,13,8,-179.91,.,.,.,28.06,28.48
26,14,8,-179.91,.,.,.,28.06,28.48
27,1,2.02,179.8,-6,-3.2,85.4,28.09,28.41
27,2,2.03,179.8,-6.5,-0.3,90.4,27.19,28.28
27,3,2.03,179.8,-5.6,-1.9,86.6,28.06,28.44
28,1,0.07,-179.87,-4.4,-2.5,91.9,28.06,28.09
28,2,0.08,-179.87,-4.5,-0.1,91.6,28.06,28.26
28,3,0.08,-179.87,-4.7,-1.7,92.6,28.06,28.56
28,4,0.08,-179.87,-4.8,-2.1,90.6,28.37,28.71
28,5,0.08,-179.87,-4.2,0.5,89.2,28.49,28.92
28,6,0.08,-179.87,-3.7,-3,87.5,28.53,29.06
28,7,0.08,-179.87,-1.7,-2.8,89.6,28.14,29.01
28,8,0.08,-179.87,-2.3,-1.7,89.9,28.14,29.06
28,9,0.08,-179.87,-4.4,-1.3,88.2,28.45,29.36
28,10,0.08,-179.87,-4.5,-1.7,87.5,28.45,29.36
28,11,0.08,-179.87,-5.2,-1.4,90.6,27.71,29.23
28,12,0.08,-179.87,-3.6,-2.5,89.6,28.29,28.97
28,13,0.08,-179.87,-4.7,-2.9,89.6,28.33,28.9
28,14,0.07,-179.87,-6.7,-1.7,89.9,28.33,28.49
29,1,-1.99,-179.87,-2.8,-1,88.3,27.61,29.09
29,2,-1.99,-179.86,-4.2,-2.5,87.9,28.04,28.99
29,3,-1.99,-179.86,-3.1,-2.9,87.1,28.39,29.32
29,4,-1.98,-179.85,-3,0.9,84.6,28.59,29.34
29,5,-1.98,-179.85,-2.6,-2.2,86.2,28.35,29.58
29,6,-1.99,-179.85,-2.8,-2.2,87.9,27.26,29.38
29,7,-1.99,-179.85,-2.9,-1.6,83.7,28.59,29.54
29,8,-1.99,-179.85,-4.2,-1.1,83.7,28.74,29.6
29,9,-1.99,-179.85,-2.2,-2.3,82.9,28.66,29.6
29,10,-1.99,-179.85,-4.7,-1.7,83.3,28.55,29.57
29,11,-1.98,-179.85,-2.8,-2,82.1,28.86,29.69
29,12,-1.99,-179.85,-3.2,-4.1,87.1,27.8,29.57
29,13,-1.99,-179.84,-6.6,-2.9,81.6,29.09,29.53
29,14,-1.99,-179.84,-6.6,-2.9,81.6,29.09,29.53
30,1,-5.02,-179.96,.,.,.,.,29.34
30,2,-5.03,-179.96,.,.,.,.,29.26
30,3,-5.03,-179.95,.,.,.,.,29.45
30,4,-5.03,-179.97,.,.,.,.,29.44
30,5,-5.02,-179.96,.,.,.,.,29.35
30,6,-5.02,-179.96,.,.,.,.,29.44
30,7,-5.02,-179.96,.,.,.,.,29.25
30,8,-5.02,-179.96,.,.,.,.,29.26
30,9,-5.02,-179.96,-3.9,0,.,.,29.34
30,10,-5.02,-179.96,-2,0.8,.,.,29.57
30,11,-5.02,-179.96,-3.2,-0.3,.,.,29.61
30,12,-5.02,-179.96,-1.3,-1.3,.,.,29.58
30,13,-5.03,-179.96,-4.4,-3.2,.,.,29.59
30,14,-5.03,-179.96,-6.6,-3,.,.,29.47
31,1,-7.97,-179.86,-1.8,-1.1,.,.,29.53
31,2,-7.97,-179.87,-3,1.1,.,.,29.6
31,3,-7.97,-179.87,-6.5,-0.2,.,.,29.4
31,4,-7.97,-179.87,-5.6,2.1,.,.,29.35
31,5,-7.97,-179.86,-4.6,2.1,.,.,29.33
31,6,-7.97,-179.87,-4.3,1.5,.,.,29.3
31,7,-7.97,-179.87,-3.4,1.1,.,.,29.23
31,8,-7.97,-179.86,-3.4,0.1,.,.,29.24
31,9,-7.97,-179.86,-5.5,1.7,.,.,29.19
31,10,-7.97,-179.86,-4.7,0.3,.,.,29.26
31,11,-7.97,-179.87,-5.7,-0.9,.,.,29.18
31,12,-7.98,-179.86,-5.8,-1.5,.,.,29.11
31,13,-7.97,-179.87,-6,-1.8,.,.,29.12
31,14,-7.97,-179.87,-6.8,-1.9,.,.,.
32,1,8.01,-170.06,-7.4,-5,82.6,27.96,28.22
32,2,8.01,-170.06,-7.5,-5.6,82,28,28.2
32,3,8.01,-170.06,-7.3,-5.7,84.7,27.93,28.19
32,4,8.01,-170.06,-7.4,-4.8,84,27.96,28.25
32,5,8.01,-170.06,-6.1,-5.7,82.3,27.93,28.26
32,6,8,-170.06,-6.2,-5,84.4,27.85,28.26
32,7,8.01,-170.05,-7,-4.7,84,27.89,28.24
32,8,8,-170.05,-5.9,-4.5,80.6,27.85,28.27
32,9,8,-170.05,-5.5,-4.3,79.9,27.73,28.29
32,10,8,-170.06,-5.3,-4.6,79.2,27.54,28.29
32,11,8.01,-170.06,-5.1,-2.6,77.2,27.61,28.3
32,12,8,-170.06,-3.7,-2.7,84.7,27.69,28.39
32,13,8,-170.05,-4.6,-2.1,87.4,28,28.41
32,14,8,-170.07,-6.7,-1.4,86.4,27.81,28.52
33,1,4.98,-169.96,-7.9,-2.8,.,27.83,28.47
33,2,4.97,-169.98,-7.9,-3,.,27.97,28.44
33,3,4.97,-169.97,-8.9,-1.8,.,27.47,28.39
33,4,4.98,-169.97,-7.8,-2,.,27.21,28.33
33,5,4.98,-169.98,-7.6,-3.2,.,27.72,28.34
33,6,4.97,-169.98,-7.7,-1,.,27.61,28.32
33,7,4.97,-169.97,-8.4,-2.1,.,27.81,28.36
33,8,4.97,-169.98,-6.7,-2.6,.,27.43,28.31
33,9,4.97,-169.97,-6,-4.9,.,27.85,28.27
33,10,4.97,-169.96,-6.2,-4.5,.,27.72,28.31
33,11,4.97,-169.98,-5.7,-3.8,.,27.71,28.33
33,12,4.97,-169.98,-4.9,-3.5,.,27.84,28.39
33,13,4.97,-169.98,-4.2,-1.2,.,27.61,28.53
33,14,4.97,-169.98,-6.2,2.2,.,26.86,28.5
34,1,1.97,-170.02,-4.8,-3.5,94.9,27.85,28.36
34,2,1.98,-170.02,-5.7,-3.1,96.9,28.05,28.29
